,Factor1,Factor2,Factor3
2015-01-05,0.4308112709277092,0.42123880856403645,0.4049828786401373
2015-01-06,-0.08340277859868649,-0.04487947352741013,-0.07222370321569212
2015-01-07,0.3219020490502106,0.30940642534359253,0.32018235172886944
2015-01-08,0.16321277511148571,0.18164539286675066,0.1963016720746433
2015-01-09,0.015300911415657814,0.1077769187818796,0.14649468005659871
2015-01-12,0.252176678223227,0.2586098776872758,0.2349427116162223
2015-01-13,0.14985448990653197,0.12938182330909684,0.12774067031365893
2015-01-14,-0.05232218249588493,-0.03148477827768584,-0.06338633264402463
2015-01-15,0.056850456073202,0.06810099795656659,0.044108918513395275
2015-01-16,0.20511577857092314,0.1530546653148955,0.19940263687904908
2015-01-19,-0.21858367542251853,-0.16163305017551013,-0.1753603912781724
2015-01-20,0.3577579119613841,0.23316389450947575,0.21655099680148476
2015-01-21,0.08892487628637187,-0.018082034513718728,0.01454166952357547
2015-01-22,0.2514503019942555,0.15276650313853624,0.14207135612330063
2015-01-23,0.07740247481475829,0.08274420702903354,0.10401684596460438
2015-01-26,0.0430300445565126,0.040412258015494334,0.06111944786404389
2015-01-27,0.14302483042158576,0.12786054894710894,0.11731326945121004
2015-01-28,0.02642486059118195,0.02690345299599278,0.06795254410892893
2015-01-29,0.11929191264319385,0.07829897015793516,0.060634815195039875
2015-01-30,-0.18041687883111107,-0.07106805407772772,-0.059014609173272524
2015-02-02,-0.049886122212804716,0.07898240845516853,0.07289881232759286
2015-02-03,-0.0494965711036753,-0.04837121614463072,0.0005725486683857035
2015-02-04,-0.12281172149387304,-0.0711328799885462,-0.08064665177539405
2015-02-05,0.05767892297651143,0.0007201176390251533,-0.006813389688021661
2015-02-06,0.19782331943202372,0.24169524319783572,0.2165037370028284
2015-02-09,-0.0013692454503839225,0.04244872732890139,0.006505776975951615
2015-02-10,-0.12302667868294466,-0.03784169375318232,-0.04533525132159932
2015-02-11,0.0705492410318587,0.03127673681780433,0.03639241266962353
2015-02-12,0.11338756711228856,0.09861907166371955,0.09651437761617729
2015-02-13,-0.1463308256739573,-0.11624915676500397,-0.13760459457517382
2015-02-16,0.09244490921519642,0.08167653182264509,0.0652810734971409
2015-02-17,0.16747198456952103,0.06752601469730665,0.04833866321823497
2015-02-25,0.2945206270588472,0.20083924651366622,0.14543804974280414
2015-02-26,-0.06725943095874577,0.04305194123197808,0.020129410334423937
2015-02-27,-0.06552868804138012,-0.022315693624028996,0.014154532276399874
2015-03-02,-0.04121393810640959,-0.08451371257348275,-0.026653237219128847
2015-03-03,0.03322976878886725,0.0755000679722616,0.0008345082565514703
2015-03-04,-0.05873168496061987,-0.05474552211371434,-0.027817833235615895
2015-03-05,0.3182966516074099,0.14890590713322618,0.14689247988838397
2015-03-06,0.01901281108124909,0.08051018278379077,0.03342628917724718
2015-03-09,-0.04764737212054768,0.07368446740342051,0.04620968231622333
2015-03-10,0.0347421872458162,-0.010584069951838151,-0.02340737327902133
2015-03-11,0.28078373307740223,0.14503326541785658,0.09348519173244983
2015-03-12,-0.006579792908660439,0.10865323486329807,0.11168406059501063
2015-03-13,-0.09797414398976706,0.05630100148896776,0.06120655641772771
2015-03-16,0.1763962060670244,0.028141601534826984,0.012884754638638323
2015-03-17,0.16790320951016108,0.06294977363256543,0.042737842145543374
2015-03-18,0.08519089088659926,-0.016659752151102714,0.010374709160469545
2015-03-19,0.0007697691466439839,0.09786353448263703,0.06816039506644353
2015-03-20,-0.08370111955880018,0.05345220143288051,0.020407875267960823
2015-03-23,-0.20463147400625498,0.0016246103697273625,0.015853384905504274
2015-03-24,0.047143055911468376,0.021499576847660653,0.05147481811598005
2015-03-25,0.35611131391240175,0.10055172520926306,0.08309095332340766
2015-03-26,0.023701405617734133,0.09049633391134135,0.032575385439439296
2015-03-27,0.1402750277312226,-0.03686837143215479,-0.07273526169094952
2015-03-30,0.00661073198935728,0.1780879155503201,0.21804910898143068
2015-03-31,-0.04513131203693662,0.09602651841627156,0.0999344396460244
2015-04-01,-0.07105105411784254,0.05724634455631375,0.039822744705507514
2015-04-02,-0.025068107178845514,0.004979951852317554,-0.022549904633207194
2015-04-03,0.09405061177852314,0.02368594802055136,0.027170072728165
2015-04-07,-0.028262796436230347,-0.08063960816283552,-0.11447219966184267
2015-04-08,-0.06188856206711665,-0.010964358141271419,0.01345610987376806
2015-04-09,-0.009296598780558924,0.06201424048442546,0.012139654232396987
2015-04-10,0.004879885289032488,0.011304778502199238,-0.015747521538266623
2015-04-13,0.1013892378326898,-0.048752836271422684,-0.090756926884356
2015-04-14,0.0700354273893788,-0.07453316623575001,-0.07405198210414957
2015-04-15,-0.028143117201831075,-0.005087586669182034,-0.05992805861417998
2015-04-16,0.1563320912398852,-0.03006986831532251,-0.06036041228299195
2015-04-17,0.08652605949153996,-0.05413499844812067,-0.09935318126325675
2015-04-20,0.13209506602449567,0.1918894691396299,0.18033823886497705
2015-04-21,0.050464399403688055,0.09743427662771846,0.11285962193308978
2015-04-22,0.06938521475743059,0.03382268784035297,0.03297455844411119
